,단어,빈도
0,ㄱ,144
1,ㄲ,4
2,ㄴ,143
3,ㄷ,51
4,ㄸ,2
5,ㄹ,69
6,ㅁ,75
7,ㅂ,50
8,ㅃ,3
9,ㅅ,83
10,ㅆ,5
11,ㅇ,145
12,ㅈ,68
13,ㅉ,18
14,ㅊ,9
15,ㅋ,2
16,ㅌ,11
17,ㅍ,13
18,ㅎ,41
19,ㄳ,0
20,ㄵ,0
21,ㄶ,1
22,ㄺ,0
23,ㄻ,0
24,ㄼ,0
25,ㄽ,0
26,ㄾ,0
27,ㄿ,0
28,ㅀ,2
29,ㅄ,0
30,ㅏ,159
31,ㅐ,33
32,ㅑ,10
33,ㅒ,0
34,ㅓ,56
35,ㅔ,43
36,ㅕ,19
37,ㅖ,2
38,ㅗ,48
39,ㅘ,11
40,ㅙ,10
41,ㅚ,4
42,ㅛ,15
43,ㅜ,43
44,ㅝ,5
45,ㅞ,0
46,ㅟ,0
47,ㅠ,3
48,ㅡ,65
49,ㅢ,1
50,ㅣ,135
